"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","CO2 emissions (kg per 2015 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","CO2 emissions (kg per 2015 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.741810723733802","0.727285002342951","0.732800900016689","0.756868524145985","0.762766316336799","0.767103608026765","0.755654056999492","0.758728914495534","0.763988017026095","0.714493974922023","0.700858023274077","0.746883939770953","0.739033983688567","0.756157328686526","0.769163700852255","0.726188828190994","0.691850478320058","0.678134187876844","0.694465359451865","0.6669322147946","0.668970138829725","0.635502397203376","0.656850184893636","0.65569717209982","0.655063839493295","0.621820709604685","0.611472790432103","0.605015954370613","0.59216122718176","0.593108613671786","","",
"Afghanistan","AFG","CO2 emissions (kg per 2015 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.136330206474862","0.148373725614611","0.123519622508667","0.167112756982737","0.180104899267154","0.159126836664282","0.307964171093537","0.347764488451098","0.443048826766701","0.554096945989531","0.444652030094925","0.312153887480966","0.247564036326007","0.297527419301841","0.259166465523987","0.227711289038462","0.285766335909148","0.275462123132709","","",
"Africa Western and Central","AFW","CO2 emissions (kg per 2015 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.377575155392985","0.425093126914701","0.455691847588049","0.436109173730889","0.404017613529637","0.433705489874047","0.478924126030317","0.459611400263445","0.427259611694591","0.429683429622831","0.441351635357441","0.44231191544477","0.381331316506351","0.385140149333369","0.356535863039995","0.346391978030114","0.315160241767605","0.286043146717026","0.285608656894225","0.260508054716072","0.274700953690021","0.271946889849723","0.267938636790074","0.274310470578939","0.270179601955207","0.258697365593676","0.268327665964258","0.260638268085278","0.261810555337604","0.264523947427669","","",
"Angola","AGO","CO2 emissions (kg per 2015 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.247015248319391","0.248691842585459","0.27242675971201","0.482872774373865","0.580835640093677","0.568544004627721","0.607797157751332","0.593003323890754","0.587812582438408","0.6040778916176","0.539238778149565","0.509807557022569","0.440927235956562","0.457322907598828","0.429157868371513","0.338019994930599","0.317395856786996","0.28528557569081","0.29155294224675","0.31710404615524","0.325999098241751","0.329852326418362","0.303899324128938","0.327050434271117","0.34291172963832","0.36287839364683","0.350245211374555","0.285826801710622","0.286175620294598","0.303228080752911","","",
"Albania","ALB","CO2 emissions (kg per 2015 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.13275609262413","1.06817320189733","0.629303761342641","0.532997144032897","0.494524776341061","0.406873599128254","0.374868702661901","0.318870616947427","0.356782766452869","0.524383143042997","0.523342626827492","0.492410983235481","0.548333774647767","0.562446540734308","0.556625266587133","0.500170222407144","0.46994853111331","0.457792795900307","0.419681813895057","0.419994805940173","0.427054861553371","0.453888519923055","0.402329772408472","0.405647305645084","0.432687067149661","0.405731157684392","0.380812427137679","0.420910278761895","0.402284369998715","0.372464088654981","","",
"Andorra","AND","CO2 emissions (kg per 2015 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.250300727760993","0.244086282409828","0.241839079726498","0.244359610969106","0.238671631026954","0.243596959524878","0.243600274507542","0.233274396151542","0.235671740990466","0.235632244074978","0.23206441082938","0.214637245096032","0.20925153968387","0.192513981914224","0.188107217241035","0.184847627871388","0.167244295000493","0.161692109926333","0.171209992490378","0.174101187882538","0.177608888840795","0.167375738382398","0.176137604379429","0.178889219909399","0.167246869181152","0.168466619311741","0.162440596140289","0.161880373672181","0.166129495825039","0.166170641950022","","",
"Arab World","ARB","CO2 emissions (kg per 2015 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.666973197651942","0.653628853813647","0.674454819316052","0.703885212657422","0.722267603759703","0.722227866735673","0.714243412687477","0.715053684878789","0.684044840652433","0.68069816667451","0.665373978925641","0.690381904638791","0.709072616949279","0.696543325241553","0.674249873527955","0.682559868210255","0.677659464763751","0.67460633044351","0.690566163354847","0.71099976174079","0.719083743211852","0.711418811458556","0.72337829142257","0.717709699665945","0.720902319630006","0.716092316999495","0.699553945632271","0.699732151242371","0.675490817811857","0.685040759129613","","",
"United Arab Emirates","ARE","CO2 emissions (kg per 2015 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.449828331559548","0.497288427158234","0.466653829987961","0.491101360574142","0.511123645800608","0.508797364692415","0.502408274979686","0.481581982716678","0.492031082625836","0.490931544446384","0.437957930399452","0.495481469723891","0.493414659536698","0.474864050157473","0.459243379924521","0.463658028712389","0.440617516172361","0.46309632181753","0.531221341550628","0.5640986458297","0.575601460369839","0.547596950403256","0.554161096578639","0.554169952335897","0.532844468310219","0.527283121739285","0.514444376703864","0.50042988917647","0.444004483331456","0.468244554569732","","",
"Argentina","ARG","CO2 emissions (kg per 2015 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.377402198846015","0.365122285219291","0.344691861670685","0.325425490542573","0.312081650794983","0.324034008067309","0.333338993636346","0.317312144402153","0.321416533066847","0.33729317391046","0.334313951755177","0.331198088598841","0.348576257020428","0.348055865016017","0.353539370019282","0.335380540377246","0.329346319147141","0.317559787390597","0.313463037483419","0.311943983380058","0.302530226383146","0.301472393602741","0.30687508552561","0.308574948593467","0.310223440106586","0.311980203427809","0.314504427637879","0.299470185744426","0.303369056353956","0.294163600033109","","",
